messagetype|block1bic|block2bic|block4_20|block4_25|block4_28|block4_28C|block4_60F|block4_60M|block4_62F|block4_62M|block4_61|block4_86|block4_64
MT940|BANKUS33AXXX|CITIUS33XXX|REF20260101001|40000202|5|5/1|C260101USD10000,50|||D260115USD9500,25|2601011215C500,00NTRF//CUSTREF001sfield9=ABC123|Payment for invoice 1001|C260115USD500,00
MT940|BANKGB2LAXXX|DEUTDEFFXXX|REF20260101002|12345678|5|5/2|C260101EUR25000,00|||D260115EUR24200,00|2601021216D800,00NCHK//BANKREF002sfield9=DEF456|Check payment 2002|D260115EUR800,00
MT940|BANKFR21AXXX|ABOROGRAXXX|REF20260101003|87654321|6|6/1|D260101GBP5000,00|||C260115GBP5500,00|2601031217C500,00NMSC//REF003sfield9=GHI789|Miscellaneous credit|C260115GBP500,00
MT940|BANKDE44AXXX|CABOROGRXXX|REF20260101004|11223344|6|6/2|C260101CHF15000,00|||D260115CHF14800,00|2601041218D200,00NSTO//CUSTPAY004sfield9=JKL012|Standing order payment|D260115CHF200,00
MT940|BANKJP11AXXX|CHABOROGRXX|REF20260101005|55667788|7|7/1|C260101JPY1000000|||D260115JPY980000|2601051219C20000NINT//INTREF005sfield9=MNO345|Interest payment|C260115JPY20000
MT940|BANKCN22AXXX|CEDELULLXXX|REF20260101006|99887766|7|7/2|D260101CNY50000,00|||C260115CNY52000,00|2601061220D2000,00NDIV//DIVREF006sfield9=PQR678|Dividend payment|D260115CNY2000,00
MT940|BANKAU33AXXX|CITIUS33XXX|REF20260101007|44556677|8|8/1|C260101AUD8000,00|||D260115AUD7500,00|2601071221C500,00NSAL//SALARY007sfield9=STU901|Salary credit|C260115AUD500,00
MT940|BANKIN44AXXX|DEUTDEFFXXX|REF20260101008|33445566|8|8/2|C260101INR500000|||D260115INR495000|2601081222D5000NFEX//FXREF008sfield9=VWX234|Foreign exchange|D260115INR5000
MT940|BANKSG55AXXX|ABOROGRAXXX|REF20260101009|22334455|9|9/1|D260101SGD12000,00|||C260115SGD12500,00|2601091223C500,00NLOA//LOANREF009sfield9=YZA567|Loan disbursement|C260115SGD500,00
MT940|BANKHK66AXXX|CABOROGRXXX|REF20260101010|11224455|9|9/2|C260101HKD75000,00|||D260115HKD74000,00|2601101224D1000,00NBOE//BILLREF010sfield9=BCD890|Bill of exchange|D260115HKD1000,00
